ID,Language,Source Text,Translated Text
,ar,ITEMS,الأصناف
,ar,Item,الصنف
,ar,Items,الأصناف
,ar,ITEM,الصنف
,ar,Items),الأصناف)
,ar,MATCH,تطابق
,ar,or for Department: {0},أو للإدارة: {0}
,ar,"From Date"" can not be greater than or equal to ""To Date","لا يمكن أن يكون ""من التاريخ"" أكبر من ""حتى تاريخ"" أو مساويًا له"
,ar,% Finished Item Quantity,٪ كمية المنتج النهائي
,ar,% Occupied,٪ مشغول
,ar,% Of Applicant Portfolio,٪ من ملف مقدم الطلب
,ar,% Of Total Portfolio,٪ من إجمالي الملف
,ar,% Returned,٪ مرتجع
,ar,% Utilization (B + NB) / T,نسبة الاستخدام (B + NB) / T.
,ar,% Utilization (B / T),نسبة الاستخدام (B / T)
,ar,Account' in the Accounting section of Customer {0},الحساب في قسم المحاسبة لدى العميل {0}
,ar,Default {0} Account' in Company {1},الحساب {0} الافتراضي في الشركة {1}
,ar,{0}' is not a valid URL,{0} ليس عنوان URL صالحًا
,ar,1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent,1 العملة = [؟] الكسور||| على سبيل المثال 1 دولار أمريكي = 100 سنت
,ar,80G Number,80G رقم
,ar,80G With Effect From,80G بتأثير من
,ar,90 Above,90 أكبر من
,ar,"<b>Single</b>: Results which require only a single input.|||<br>|||<b>Compound</b>: Results which require multiple event inputs.|||<br>|||<b>Descriptive</b>: Tests which have multiple result components with manual result entry.|||<br>|||<b>Grouped</b>: Test templates which are a group of other test templates.|||<br>|||<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results",<b> مفرد </ b>: النتائج التي تتطلب قيدًا واحدًا فقط. ||| <br> ||| <b> المركب </ b>: النتائج التي تتطلب قيود أحداث متعددة. ||| <br> || | <b> وصفي </ b>: الاختبارات التي تحتوي على مكونات نتائج متعددة مع قيد يدوي للنتائج. ||| <br> ||| <b> مجمعة </ b>: نماذج الاختبار التي هي مجموعة من نماذج الاختبار الأخرى. ||| <br> ||| <b> لا نتيجة </ b>: الاختبارات التي ليس لها نتائج ، يمكن طلبها وفواتيرها ولكن لن يتم إنشاء اختبار معمل. على سبيل المثال الاختبارات الفرعية لنتائج مجمعة
,ar,"<br>|||<h4>Note</h4>|||<ul>|||<li>|||You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.|||</li><li>||| All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the <b>customer</b> object.|||</li></ul>|||<h4> Examples</h4>|||<!-- {% raw %} -->|||<ul>||| <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.name }}</code></pre><br></li>||| <li><b>Body</b>: <br><br>|||<pre><code>Hello {{ customer.name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>|||</ul>|||<!-- {% endraw %} -->","<br> ||| <h4> ملاحظة </ h4> ||| <ul> ||| <li> ||| يمكنك استخدام <a href = ""https://jinja.palletsprojects.com/en/2.11 .x / ""target ="" _ blank ""> علامات Jinja </a> في حقلي <b> الموضوع </ b> و <b> النص الأساسي </ b> للقيم الديناميكية. ||| </li> <li> | || جميع الحقول في هذا المستند متاحة ضمن كائن <b> doc </b> وجميع الحقول الخاصة بالعميل الذي سينتقل إليه البريد متاحة ضمن كائن <b> customer </b>. ||| </ li> </ul> ||| <h4> أمثلة </ h4> ||| <! - {٪ raw٪} -> ||| <ul> ||| <li> <b> الموضوع </ b>: <br> <br> <pre> <code> كشف حسابات {{customer.name}} </code> </pre> <br> </li> ||| <li> <b> النص الأساسي </ b>: <br> <br> ||| <pre> <code> مرحبًا {{customer.name}} ، <br> كشف حساب PFA الخاص بالحسابات من {{doc.from_date }} إلى {{doc.to_date}}. </code> </pre> </li> ||| </ul> ||| <! - {٪ endraw٪} ->"
,ar,"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class = ""alert""> يُرجى عدم تحديثه لأنه يمكن أن يفسد النموذج الخاص بك. استخدم تخصيص عرض النموذج والحقول المخصصة لتعيين الخصائص! </ div>"
,ar,"<div class=""columnHeading"">Other Details</div>","<div class = ""columnHeading""> تفاصيل أخرى </ div>"
,ar,"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class = ""text-muted text-center""> لم يتم العثور على معاملات بنكية مطابقة </ div>"
